date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:11:33	186228/186228	---M--	200	added ('OK')	application/octet-stream	etag:%225c5473b4-2d774%22	http://baha.malyarchuk.space/fonts/fa-solid-900.ttf	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-solid-900.ttf	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:11:43	126713/126713	---M--	200	added ('OK')	image/jpeg	etag:%225d07acb9-1eef9%22	http://baha.malyarchuk.space/img/slider/slide-1.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/slider/slide-1.jpg	(from http://baha.malyarchuk.space/css/style-dark.css)
04:11:44	14028/14028	---MCZ	200	added ('OK')	text/html	etag:W/%225d9a5427-36cc%22	http://baha.malyarchuk.space/blog-list.html	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/blog-list.html	(from http://baha.malyarchuk.space/single-blog.html)
04:11:45	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Mon,%2014%20Oct%202019%2011:11:52%20GMT	http://baha.malyarchuk.space/	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/index.html	(from http://baha.malyarchuk.space/single-blog.html)
04:11:49	19595/19595	---M--	200	added ('OK')	image/png	etag:%225c016bb0-4c8b%22	http://baha.malyarchuk.space/img/blog/authors/author-1.png	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/authors/author-1.png	(from http://baha.malyarchuk.space/single-blog.html)
04:11:52	21458/21458	---M--	200	added ('OK')	image/png	etag:%225c016bba-53d2%22	http://baha.malyarchuk.space/img/blog/authors/author-2.png	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/authors/author-2.png	(from http://baha.malyarchuk.space/single-blog.html)
04:11:53	182688/182688	---M--	200	added ('OK')	image/jpeg	etag:%225d07acba-2c9a0%22	http://baha.malyarchuk.space/img/slider/slide-3.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/slider/slide-3.jpg	(from http://baha.malyarchuk.space/css/style-dark.css)
04:11:55	20084/20084	---M--	200	added ('OK')	image/png	etag:%225c016bc8-4e74%22	http://baha.malyarchuk.space/img/blog/authors/author-3.png	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/authors/author-3.png	(from http://baha.malyarchuk.space/single-blog.html)
04:11:57	227659/227659	---M--	200	added ('OK')	image/jpeg	etag:%225d07acbd-3794b%22	http://baha.malyarchuk.space/img/slider/slide-2.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/slider/slide-2.jpg	(from http://baha.malyarchuk.space/css/style-dark.css)
04:12:26	894139/894139	---M--	200	added ('OK')	image/jpeg	etag:%225cd95182-da4bb%22	http://baha.malyarchuk.space/img/blog/blog-page-img.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/blog-page-img.jpg	(from http://baha.malyarchuk.space/css/style-dark.css)
04:13:15	315377/315377	---M--	200	added ('OK')	image/jpeg	etag:%225d6e1c9b-4cff1%22	http://baha.malyarchuk.space/img/blog/post/blog-1.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/post/blog-1.jpg	(from http://baha.malyarchuk.space/blog-list.html)
04:13:22	335303/335303	---M--	200	added ('OK')	image/jpeg	etag:%225d6e1c9d-51dc7%22	http://baha.malyarchuk.space/img/blog/post/blog-4.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/post/blog-4.jpg	(from http://baha.malyarchuk.space/blog-list.html)
04:13:27	71846/71846	---M--	200	added ('OK')	image/jpeg	etag:%225d724f31-118a6%22	http://baha.malyarchuk.space/img/blog/post/gallery/gallery-1.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/post/gallery/gallery-1.jpg	(from http://baha.malyarchuk.space/blog-list.html)
04:13:34	410277/410277	---M--	200	added ('OK')	image/jpeg	etag:%225d6e1c9f-642a5%22	http://baha.malyarchuk.space/img/blog/post/blog-3.jpg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/img/blog/post/blog-3.jpg	(from http://baha.malyarchuk.space/blog-list.html)
